soda pop,2
polka,1
opera,4
canzone napoletana,4
harmonica blues,2
jazz christmas,406
light music,14
electric blues,2
texas blues,2
new orleans blues,2
traditional blues,2
lounge,639.5
folk,2
traditional folk,3
chicago soul,4
accordion,1
vintage western,4
cowboy western,24
doo wop,155.5
brill building pop,32
swedish hip hop,16
exotica,19
a cappella,28
acoustic blues,2
jazz blues,10
country christmas,7
christmas,953.5
memphis blues,2
chicago blues,2
swamp blues,2
comic,9
adult standards,833.5
big band,15
nashville sound,9
boogie woogie,2
traditional country,9
vocal jazz,457
honky tonk,1
soul,4
country gospel,8
deep motown,6
calypso,1
operatic pop,4
modern blues,2
delta blues,2
piano blues,4
louisiana blues,2
deep adult standards,653
folk christmas,5
blues,2
jump blues,4
soul blues,2
dixieland,3
british dance band,16
cabaret,514.5
ragtime,2
easy listening,492
western swing,7
swing,185.5
rockabilly,32
vintage jazz,1
jazz,2
new orleans jazz,3
geek rock,9
rock and roll,32
motown,4
