girl group,2
opera,19
canzone napoletana,19
jazz christmas,405
soul christmas,1
light music,42
world christmas,9
new orleans blues,1
lounge,745
tin pan alley,1
cool jazz,3
folk,1
traditional folk,2
vintage chanson,9
cowboy western,63
doo wop,13
brill building pop,2
exotica,43.5
memphis blues,1
jazz blues,41
show tunes,2
country christmas,28
christmas,1049
comic,5
adult standards,885
big band,70
nashville sound,29
boogie woogie,25
traditional country,29
vocal jazz,508.5
honky tonk,1
country gospel,29
chanson,9
calypso,1
laboratorio,2
swamp pop,1
operatic pop,19
movie tunes,17
deep adult standards,586.5
folk christmas,3
jump blues,25
piano blues,1
dixieland,18
british dance band,42
cabaret,618.5
ragtime,18
easy listening,536
western swing,29
swing,220
outlaw country,1
rockabilly,1
jazz,21
new orleans jazz,18
geek rock,4
rock and roll,1
