velha guarda,1
samba,1
jazz,1
cool jazz,1
new orleans jazz,39
bluegrass,1
adult standards,623.5
comic,3
cabaret,444
nashville sound,7
lounge,604.5
swing,298.5
jazz orchestra,26
exotica,43
bossa nova,1
honky tonk,1
country gospel,7
traditional swing,10
western swing,7
tin pan alley,97
vocal jazz,432
jump blues,15
boy band,6
stride,38
cowboy western,39
brazilian composition,1
traditional country,7
vintage jazz,8
christmas,623.5
country christmas,5
deep adult standards,195.5
doo wop,1
deep opera,1
movie tunes,9
show tunes,1
jazz blues,18
jazz christmas,409
big band,85
british dance band,57
vintage swing,2
easy listening,425
choro,1
