doo wop,1
nashville sound,2
western swing,2
easy listening,147
jazz christmas,261
cabaret,355.5
boogie woogie,26
ragtime,13
deep adult standards,1
tin pan alley,11
deep pop emo,6
swing,371
lounge,304.5
traditional swing,57
jazz blues,69
vintage swing,2
country christmas,2
traditional country,2
children s christmas,7
dixieland,37.5
boy band,69
adult standards,334.5
british dance band,56
stride,13
cowboy western,2
country gospel,2
christmas,357.5
new orleans jazz,100.5
vocal jazz,171.5
big band,211.5
movie tunes,8
