bebop,1
jazz,1
cool jazz,1
new orleans jazz,8
adult standards,607.5
comic,1
cabaret,579.5
nashville sound,21
lounge,515.5
swing,393
exotica,47.5
honky tonk,6
country gospel,21
traditional swing,1
western swing,28
tin pan alley,11
vocal jazz,358.5
light music,28.5
jump blues,110.5
boy band,25
stride,1
cowboy western,26
vintage western,2
outlaw country,8
traditional country,26
christmas,609.5
country christmas,19
deep adult standards,64
boogie woogie,60
deep free jazz,2
show tunes,13
jazz blues,81
jazz christmas,263
big band,179.5
british dance band,57
vintage swing,4
easy listening,410.5
