new wave pop,13871.9039233975
new wave,11690.5122500578
new romantic,11283.8107601391
dance rock,11112.5263147387
synthpop,8393.84107916681
soft rock,7145.85729907603
art rock,6108.14490679354
hi nrg,5966.75886350143
rock,5803.59470970324
album rock,5740.28887370341
mellow gold,5455.31053068507
glam rock,5202.0693845902
soul christmas,4609.20950497369
quiet storm,4169.75438333898
disco,4148.22322901809
funk,3864.26398715541
classic funk rock,3485.92358011116
soul,3441.02601562174
post disco,3346.95951034075
permanent wave,3238.97341408128
motown,3064.76671184513
pop christmas,3002.53556038323
hard rock,2946.99221637461
funk rock,2914.2734803776
uk post punk,2665.55595428733
classic rock,2585.63979488511
europop,2430.60941383756
post punk,1979.37433142297
singer songwriter,1801.36844910017
protopunk,1728.11591771001
folk rock,1675.66662170702
dance pop,1563.3919045091
madchester,1548.69183009457
urban contemporary,1521.84601272917
roots rock,1315.11639614473
heavy christmas,1312.88637898861
blues rock,1305.5187649714
folk christmas,1237.09510074721
new jack swing,1149.09158336442
progressive rock,1143.51717630635
pub rock,1131.37328289012
rock and roll,1109.80076456108
metal,1101.5143026539
adult standards,960.998193075143
british blues,934.023333176736
punk,930.245267440529
zolo,905.719990638296
christmas,895.56780471678
glam metal,851.833343979191
symphonic rock,849.341868461418
boy band,839.048272836167
pop,820.393268182815
british invasion,819.084597681081
freestyle,810.34270771032
rockabilly,777.272341600127
gothic rock,776.06255418564
jazz christmas,712.037800937345
brill building pop,697.044639108075
southern rock,689.452920968367
old school hip hop,654.070429358792
southern soul,633.652248297194
melancholia,629.640566341488
country rock,629.139195404344
ska revival,616.647971016593
folk pop,607.691347495688
reggae,596.718414120275
smooth jazz,583.198622451593
jazz funk,572.033628131444
hip house,554.983831626413
ska,551.006856561307
deep new wave,545.653711857811
post disco soul,538.716635615577
electro,523.964141923368
chicago soul,521.380601905236
psychedelic rock,467.84626055291
nwobhm,462.903388049961
britpop,456.784062838127
traditional folk,449.776650135045
piano rock,428.561715856359
soul blues,423.898870069695
speed metal,422.773191694233
mod revival,415.326934289636
hip hop,407.999735081733
italian disco,406.185354683278
rap,402.68452688038
bubblegum pop,403.280247162715
folk,401.386660319818
reggae fusion,376.251494113121
acid house,366.726284229661
experimental,352.350216497948
dream pop,353.247393242594
lovers rock,350.812401282348
chicago house,341.427789882472
memphis soul,338.588011834585
electronic,321.869013806247
neo soul,307.545145985115
indie christmas,304.815181826928
r b,304.382602185912
roots reggae,294.984586853639
australian pop,285.439664670396
scottish rock,282.284159121843
dancehall,275.526400709646
alternative rock,274.30975527799
celtic rock,270.748291388402
c86,267.529901439976
merseybeat,263.619824656486
australian dance,261.90169554249
lounge,261.72294005286
jazz fusion,252.527699489908
jangle pop,252.478265634369
candy pop,250.44082615174
experimental rock,238.391419484885
electric blues,237.928385055536
hardcore punk,235.502304338868
australian alternative rock,230.846539514201
dub,228.92145545853
hardcore hip hop,221.914688754595
vocal jazz,216.140441475162
neo psychedelic,213.969513000126
oi,212.942732959012
pop rock,211.52804067475
dark wave,208.597317003909
industrial rock,205.469505575348
world christmas,201.023957757407
power pop,198.647673955684
lilith,190.593641354225
new age,183.649522799406
rap rock,182.133147533026
indie rock,176.786717523675
big beat,173.808419019905
thrash metal,173.429429273938
bow pop,171.495360458154
no wave,171.555189598507
neo progressive,168.866366676337
progressive metal,169.404542366014
jazz blues,166.285311091745
cowpunk,166.817218991626
rock steady,162.919950186039
texas blues,161.048542491277
soul jazz,160.701600980787
punk christmas,149.34598070627
space rock,146.465499771644
shoegaze,144.439366877926
p funk,143.568329197209
funk metal,141.222929733621
east coast hip hop,139.152732791022
swedish pop,137.22867499475
country christmas,134.038994648154
celtic christmas,132.59388488291
gangster rap,131.196667933071
eurodance,129.147228926436
sleaze rock,129.024284133779
celtic,128.590181179206
modern blues,126.117890525055
show tunes,121.74717381453
cabaret,122.451466988567
electroclash,120.86615263935
nashville sound,116.736608240284
chamber pop,113.870267867894
twee pop,109.569017289879
irish folk,107.691859311372
groove metal,108.584098482213
industrial,107.667636724401
operatic pop,105.880779069556
traditional country,103.64432740476
country gospel,103.64432740476
beach music,103.96662360345
deep funk,99.4708207309862
techno,95.6587854140148
latin christmas,96.1667504040761
corrosion,96.8218244669709
latin pop,91.1031876510397
german pop,91.844441839015
deep house,90.4848693071006
latin,90.087803035655
country,88.4615077003826
northern soul,87.078822303556
detroit techno,85.4476743029037
german techno,83.8904790290554
kraut rock,83.8904790290554
chill out,82.1453739598862
melodic hard rock,79.2747106975831
traditional irish folk,79.3494571490689
power metal,75.5901628067109
welsh rock,75.6925065346639
eurobeat,76.4011749212632
ethereal wave,72.7597985550997
deep disco,73.55219205705
nu gaze,71.927669385706
acid jazz,72.471455021703
hip pop,70.7135667193019
industrial metal,69.4502026082849
trip hop,68.8947891645646
downtempo,68.8947891645646
noise pop,68.9488215535769
vocal house,67.6114400290388
doo wop,66.4890582288536
canadian metal,64.5090570486013
laboratorio,65.2978699518419
hollywood,61.1113056265766
psychobilly,60.3085299292037
contemporary country,60.2845881598151
skate punk,54.3551183779195
neo mellow,54.7770247773703
underground hip hop,53.4675637521321
pop rap,54.4247149600621
swedish hard rock,54.5265534966629
soundtrack,53.7450396636254
comic,52.30706781319
neue deutsche welle,51.1557803797013
australian country,49.5831969775631
easy listening,49.4586242902684
crossover thrash,49.3503061042276
contemporary post bop,50.0913100647095
alternative hip hop,48.4346903701753
celtic punk,48.3315015535097
jazz,46.0714427661276
intelligent dance music,44.460599540237
fourth world,42.167691234333
austropop,43.1211012906744
a cappella,42.4267785541056
