"Artist","sum"
"Glenn Miller & His Orchestra",181.5
"Kay Kyser & His Orchestra",139.5
"Harry James & His Orchestra",110
"Bing Crosby",71
"Jimmy Dorsey & His Orchestra",69
"Dinah Shore",48
"Andrews Sisters",44
"Woody Herman & His Orchestra",44
"Sammy Kaye & His Orchestra",42
"Vaughn Monroe & His Orchestra",40
"Freddy Martin & His Orchestra",38
"Alvino Rey & His Orchestra",34.5
"Charlie Spivak & His Orchestra",34
"Freddie Slack & His Orchestra",30
"Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)",30
"Kate Smith",28
"Benny Goodman & His Orchestra",27
"Benny Goodman & His Orchestra (Vocal Peggy Lee)",25
"Jimmy Dorsey & His Orchestra (Vocal Bob Eberle & Helen O'connell)",22
"Merry Macs",20
"Dick Jurgens & His Orchestra",19
"Tommy Dorsey & His Orchestra",18
"Spike Jones & His City Slickers",17
"Glenn Miller & His Orchestra (Vocal Ray Eberle)",15
"Russ Morgan & His Orchestra",15
"Sammy Kaye & His Orchestra (Vocal Don Cornell)",14
"Tommy Dorsey & His Orchestra (Vocal Frank Sinatra & Pied Pipers)",14
"Johnny Mercer",13
"Horace Heidt & His Orchestra",11
"Jimmie Lunceford & His Orchestra",11
"Benny Goodman & His Orchestra (Vocal Dick Haymes)",10
"Glen Gray & Casa Loma Orchestra",10
"Abe Lyman & His California Orchestra",8
"Cab Calloway & His Orchestra",8
"Kenny Baker",8
"Elton Britt",7
"Ray Noble & His Orchestra",7
"Alvino Rey & His Orchestra (Vocal King Sisters)",6
"Guy Lombardo & His Royal Canadians",6
"King Sisters",6
"Artie Shaw & His Orchestra",3
"Barry Wood",3
"Connee Boswell",3
"Duke Ellington & His Famous Orchestra",3
"Ink Spots",3
"Lucky Millinder & His Orchestra",3
"Tommy Tucker & His Orchestra",3
"Art Kassel & His Kassels-in-the-Air",2
"Carson Robison",2
"Dick Kuhn & His Orchestra",2
"Gene Krupa & His Orchestra",2
"Gordon Jenkins & His Orchestra",2
"Johnny Long & His Orchestra",2
"Orrin Tucker & His Orchestra",2
"Shep Fields & His Rippling Rhythm Orchestra",2
"Teddy Powell & His Orchestra",2
"Art Jarrett & His Orchestra",1
"Benny Goodman & His Orchestra (Vocal Peggy Lee & Art Lund)",1
"Benny Goodman Sextet (Vocal Peggy Lee)",1
"Bob Chester & His Orchestra",1
"Bob Crosby & His Orchestra",1
"Bob Wills & His Texas Playboys",1
"Carl Hoff & His Orchestra",1
"Claude Thornhill & His Orchestra",1
"Dick Robertson & His Orchestra",1
"Dolly Dawn & Her Dawn Patrol",1
"Eddy Duchin & His Orchestra",1
"Eddy Howard & His Orchestra",1
"Erskine Hawkins & His Orchestra",1
"Frankie Masters & His Orchestra",1
"Gene Autry",1
"Gordon Jenkins",1
"Hal McIntyre & His Orch v Jack Lathrop",1
"Jimmy Dorsey & His Orchestra (Vocal Helen O'Connell)",1
"Johnnie Johnston",1
"Judy Garland & Gene Kelly",1
"Lawrence Welk & His Orchestra",1
"Lionel Hampton & His Orchestra",1
"Mary Martin (Horace Heidt Orchestra)",1
"McFarland Twins",1
"Mills Brothers",1
"Milt Herth Trio",1
"Mitchell Ayres & His Fashions in Music",1
"Paul Whiteman & His Orchestra",1
"Phil Spitalny & His Orchestra",1
"Raymond Scott & His Orchestra",1
"Ted Weems & His Orchestra",1
"Tony Martin",1
"Tony Pastor & His Orchestra",1
