"Artist","sum"
"Perry Como",108
"Eddie Fisher",93
"Patti Page",84
"Joni James",78.5
"Les Paul & Mary Ford",74
"Frankie Laine",62.5
"Teresa Brewer",62
"Hilltoppers",58
"Ames Brothers",48
"Les Baxter & His Orchestra",47.5
"Tony Bennett",43
"Kay Starr",42
"Frank Chacksfield & His Orchestra",38
"Julius LaRosa",36.5
"Richard Hayman & His Orchestra",35
"Percy Faith & His Orchestra (Vocal Faliecia Sanders)",34
"Rusty Draper",32
"Gaylords",31.5
"Pee Wee Hunt Orch",29
"Georgia Gibbs",27
"Vic Damone",27
"Dean Martin",26.5
"Nat King Cole (Nelson Riddle & His Orchestra)",26.5
"Eartha Kitt",26
"Ralph Marterie & His Orchestra",26
"Jo Stafford",25
"Frank Sinatra",24
"Ray Anthony",21.5
"Stan Freberg",21
"Four Lads",20
"Ralph Flanagan & His Orchestra",20
"Four Aces",19
"Karen Chandler",19
"June Valli",18
"Silvana Mangano",17
"Don Howard",15
"Mills Brothers",15
"Rex Allen",15
"Bill Haley",14
"Mariners",14
"Darrell Glenn",13
"Frankie Laine & Jimmy Boyd",13
"Nat King Cole",13
"Red Buttons",13
"Doris Day",12
"Eddy Howard & His Orchestra",12
"Sunny Gale",12
"Jane Froman",11
"Jean Shepard & Ferlin Husky",11
"Lorry Raine",11
"Norman Brooks",11
"Johnnie Ray",10
"Mantovani & His Orchestra",10
"Nat King Cole (Billy May & His Orchestra)",10
"Orioles",10
"Bing Crosby",9
"Eileen Barton",9
"Johnny Maddox & The Rhythmasters",9
"Lawrence Welk & His Orchestra",9
"Percy Faith & His Orchestra",9
"Artie Wayne",8
"June Hutton",8
"Liberace",8
"Monty Kelly & His Orchestra",8
"Richard Hayman & His Orchestra (with Jerry Murad)",8
"Sauter-Finegan Orchestra",8
"Bob Dini",7
"Bob Manning",7
"Buddy Morrow & His Orchestra",7
"Don Cornell",7
"Pete Hanley",7
"Sammy Kaye & His Orchestra",7
"Dinah Shore",6
"Four Knights",6
"Freddy Martin & His Orchestra",6
"Henry Jerome & His Orchestra",6
"Bill Darnel",5
"Bob Carroll",5
"Gordon MacRae",5
"Hamish Menzies",5
"Hugo Winterhalter & His Orchestra",5
"Hugo Winterhalter & His Orchestra (Henri Rene - accordion)",5
"Jackie Gleason & His Orchestra",5
"Lancers",5
"Leo Diamond",5
"Leroy Anderson & His Pops Concert Orchestra",5
"Russ Morgan & His Orchestra",5
"Tommy Dorsey & His Orchestra",5
"Al Jazzbo Collins",4
"Billy Eckstine",4
"Bobby Wayne",4
"Bunny Paul",4
"Duke Ellington & His Famous Orchestra",4
"Ella Fitzgerald",4
"Guy Mitchell",4
"Helene Dixon",4
"Homer & Jethro",4
"Jenny Barrett",4
"Judy Valentine",4
"Mindy Carson",4
"Pat O'Day & The Four Horsemen",4
"Richard Bowers",4
"Steve Lawrence",4
"Victor Young & His Orchestra",4
"Bob Bachelder & His Orchestra",3
"Brucie Weil",3
"Buddy Greco",3
"Connee Boswell",3
"Dolores Gray",3
"Gene Autry",3
"Gisele MacKenzie",3
"Hank Williams & His Drifting Cowboys",3
"Jaye P. Morgan",3
"Johnny Desmond",3
"June Christy",3
"Kitty Kallen",3
"Les Paul",3
"Ray Bloch & His Orchestra",3
"Rosemary Clooney",3
"Ruth Brown",3
"Super-Sonics",3
"Three Suns",3
"Tommy Edwards",3
"Tony Martin",3
"Trudy Richards",3
"Wally Cox",3
"Walter Schumann Voices",3
"Al Martino",2
"Art Lund",2
"Betty Hutton",2
"Claude Thornhill & His Orchestra",2
"Davis Sisters",2
"Doris Day & Johnnie Ray",2
"Ernest Tubb",2
"Fats Domino",2
"Faye Adams",2
"Florian Zabach",2
"Gayla Peevey",2
"Hank Thompson & His Brazos Valley Boys",2
"Harry Belafonte",2
"Harry James & His Orchestra",2
"Jim Reeves",2
"Joe Turner",2
"Louis Armstrong",2
"Mitch Miller & His Orchestra",2
"Modernaires & Paula Kelly",2
"Mulcays",2
"Peggy Lee (Dave Barbour Orchestra)",2
"Red Foley",2
"Rosemary Clooney (Harry James Orchestra)",2
"Sarah Vaughan",2
"Savannah Churchill",2
"Sonny Howard",2
"Spike Jones & His City Slickers",2
"Stan Kenton & His Orchestra",2
"William Kapell",2
"Benny Goodman & His Orchestra (Vocal Helen Ward)",1
"Bernie Wayne",1
"Bette McLaurin",1
"Billy Williams Quartet",1
"Bob Eberly",1
"Buddy Hackett",1
"Camarata & His Orchestra",1
"Chris Martin",1
"Commanders",1
"Damita Jo",1
"Del Wood",1
"Dick Todd",1
"Ella Mae Morse",1
"Esquire Boys",1
"Eugenie Baird",1
"Four Freshmen",1
"Fran Warren",1
"Frankie Laine & Jo Stafford",1
"Ginny Gibson",1
