"Artist","sum"
"Adam & The Ants",123.202097902098
"Shakin' Stevens",76.9614379084967
"The Human League",69.2067307692308
"Kim Wilde",60.0557498057498
"Bad Manners",59.3726064784888
"Ultravox",58.0749458874459
"Toyah",52.6856060606061
"Spandau Ballet",50.2618538324421
"Soft Cell",49.9166666666667
"The Specials",48.1363636363636
"John Lennon",47.6417249417249
"Barry Manilow",47.3288127413127
"Stevie Wonder",45.4275058275058
"Kool & The Gang",44.2676470588235
"Status Quo",43.3293650793651
"Imagination",43.1527777777778
"Duran Duran",43.1360886860887
"Star Sound",40.844537815126
"Madness",40.5371572871573
"Bucks Fizz",40.0166666666667
"Cliff Richard",39.65
"The Police",39.5128205128205
"Sheena Easton",38.8183436933437
"The Beat",37.3
"The Teardrop Explodes",35.8192022792023
"Linx",35.0025974025974
"The Nolans",33.7995726495727
"Orchestral Manoeuvres In The Dark",33.7571428571429
"Hazel O'Connor",33.3827235772358
"The Tweets",33.0662055335968
"The Jacksons",31.8075301891091
"Diana Ross",31.683482875909
"Phil Collins",31.6302521008403
"REO Speedwagon",31.4943609022556
"UB40",31.2678571428571
"Visage",30.9638278388278
"Rod Stewart",30.8765297202797
"Depeche Mode",30.2334529505582
"The Polecats",30.1234501347709
"Godley & Creme",29.8917748917749
"Odyssey",29.3010335917313
"Tenpole Tudor",28.749574829932
"Coast To Coast",28.4977443609023
"Landscape",28.3237854251012
"The Jam",28.1309523809524
"Squeeze",27.5529616724739
"Rush",27.2208857509628
"Gillan",27.1501093717057
"Rainbow",26.4077235772358
"Japan",26.1885964912281
"Matchbox",26.1832261813955
"ABBA",26
"Slade",25.3592432950192
"Randy Crawford",25.167297979798
"Ottawan",25.0204081632653
"Electric Light Orchestra",24.3166666666667
"Michael Jackson",24.3074534161491
"Tony Capstick & The Carlton Main Frickley Colliery Band",24.1666666666667
"The Whispers",24.1491228070175
"Pretenders",23.2559884559885
"Modern Romance",23.0166666666667
"Altered Images",22.8678665496049
"The Stray Cats",22.4695640616693
"Smokey Robinson",22.4109311740891
