"Artist","sum"
"Eddie Fisher",157
"Patti Page",90
"Four Aces",80
"Eddy Howard & His Orchestra",72
"Jo Stafford",72
"Kay Starr",65
"Rosemary Clooney",60.5
"Nat King Cole (Nelson Riddle & His Orchestra)",49
"Don Cornell",47
"Les Paul & Mary Ford",45.5
"Leroy Anderson & His Pops Concert Orchestra",43
"Guy Lombardo & His Royal Canadians",42
"Hugo Winterhalter & His Orchestra",42
"Johnnie Ray & Four Lads",41
"Vera Lynn",40
"Mills Brothers",38
"Georgia Gibbs",35
"Frankie Laine",33
"Pee Wee King & His Golden West Cowboys",32
"Ray Anthony",31.5
"Johnnie Ray",31
"Joni James",31
"Les Paul",31
"Al Martino",30
"Guy Mitchell",28
"Perry Como",28
"Ralph Flanagan & His Orchestra",28
"Arthur Godfrey",27
"Bell Sisters",27
"Les Baxter & His Orchestra",26
"Ames Brothers",25
"Ella Mae Morse",24
"Perry Como & Eddie Fisher",24
"Doris Day",23
"Johnnie Ray & The Four Lads",23
"Percy Faith & His Orchestra",23
"Peggy Lee (Gordon Jenkins Orchestra)",22
"Johnny Standley",21
"Bobby Wayne",20
"Hilltoppers",19
"Mario Lanza",19
"Louis Armstrong",18
"Tony Martin",18
"Pearl Bailey",17
"Tony Bennett",16
"Jane Froman",15
"Richard Hayes",15
"Vic Damone",15
"Doris Day & Frankie Laine",14
"Helen O'Connell",14
"Sammy Kaye & His Orchestra",14
"Slim Whitman",14
"Billy Eckstine",13
"Frank Sinatra",13
"Frankie Laine & Jo Stafford",13
"Vaughn Monroe & His Orchestra",13
"Cowboy Copas (Elliot Lawrence)",12
"Eileen Barton",12
"Nat King Cole (Billy May & His Orchestra)",12
"Weavers (Gordon Jenkins & His Orchestra)",12
"Dean Martin",10
"Sauter-Finegan Orchestra",10
"Toni Arden",10
"Les Compagnons De La Chanson",9
"Tommy Edwards",9
"Sunny Gale",8
"Teresa Brewer",8
"Tex Ritter",8
"Bing Crosby",7
"Dolores Gray",7
"Harry Grove Trio",7
"Jimmy Boyd",7
"Bell Sisters & Phil Harris",6
"Bing Crosby & Jane Wyman",6
"Dinah Shore",6
"Hank Williams & His Drifting Cowboys",6
"June Valli",6
"Paul Weston & His Orchestra",6
"Rosemary Clooney & Marlene Dietrich",6
"Sunny Gale (Eddie Wilcox Orchestra)",6
"Buddy Morrow & His Orchestra",5
"Ella Fitzgerald",5
"Four Lads",5
"Gisele MacKenzie",5
"Alan Dean",4
"Four Knights",4
"Gene Autry",4
"Johnny Desmond",4
"Stan Freberg",4
"Bette McLaurin",3
"Doris Day & Johnnie Ray",3
"Gisele MacKenzie & Helen O'Connell",3
"Mantovani & His Orchestra",3
"Margaret Whiting",3
"Nat King Cole (Les Baxter & His Orchestra)",3
"Sarah Vaughan",3
"Spike Jones & His City Slickers",3
"Steve Lawrence",3
"Art Mooney & His Orchestra",2
"Billy May & His Orchestra",2
"Billy Williams Quartet",2
"Bing Crosby & Carol Richards",2
"Bing Crosby & Peggy Lee",2
"Bobby Maxwell & His Swinging Harps",2
"Camarata & His Orchestra",2
"Connee Boswell (Artie Shaw Orchestra)",2
"Danny Winchell",2
"Doris Day & Donald O'Connor",2
"Ellen Sutton",2
"Gloria Hart",2
"Guy Mitchell & Mindy Carson",2
"Lisa Kirk",2
"Marian Caruso",2
"Molly Bee",2
"Rosemary Clooney & Gene Autry",2
"Sandy Solo",2
"Stan Kenton & His Orchestra",2
"Tiny Hill & His Orchestra",2
"Art Lund",1
"Bill Kenny",1
"Bob Eberly",1
"Burl Ives",1
"Carmen Cavallaro & His Orchestra",1
"Champ Butler",1
"Danny Kaye",1
"Fats Domino",1
"Four Freshmen",1
"Frances Faye",1
"Hank Thompson & His Brazos Valley Boys",1
"Harry Belafonte",1
"Hawkshaw Hawkins",1
"Johnny Maddox & The Rhythmasters",1
"Johnny Mercer",1
"Kitty Wells",1
"Liberace",1
"Louis Prima",1
"Mel Torme",1
"Mickey Katz & His Orchestra",1
"Mitch Miller & His Orchestra",1
"Nat King Cole",1
"Nat King Cole Pete Rugolo & His Orchestra)",1
"Red Foley",1
"Red Saunders & His Orchestra",1
"Russ Morgan & His Orchestra",1
"Steve Gibson & The Red Caps",1
"Ted Straeter & His Orchestra",1
"Teddy Phillips & His Orchestra",1
"Weavers",1
"Woody Herman & His Orchestra",1
