"Artist","sum"
"The Beatles",117.785561497326
"Shaggy",98.1707116412999
"Backstreet Boys",76.7594627594628
"Various Artists",71
"Limp Bizkit",61.3961988304094
"Linkin Park",61.0219696969697
"Staind",54.1410256410256
"Enya",52.7152553329024
"'N Sync",47.6507936507937
"Nelly",47.3859649122807
"Creed",46.0308080808081
"Destiny's Child",44.9400438083885
"Alicia Keys",43.95
"Sade",38.1262626262626
"OutKast",37.4377990430622
"Dido",36.4761904761905
"Lenny Kravitz",36.3587662337662
"R. Kelly",36.1862745098039
"Dave Matthews Band",35.6607538802661
"Tim McGraw",35.3848443223443
"Jennifer Lopez",34.9142857142857
"U2",33.7892156862745
"Ja Rule",31.6923076923077
"Ludacris",31.5324425574426
"Lifehouse",30.8666666666667
"Faith Hill",30.3595238095238
"Aaron Carter",29.8789682539683
"Lil Bow Wow",29.424358974359
"Snoop Dogg",29.0333333333333
"Baha Men",29
"D 12",28.0833333333333
"2Pac",27.277183600713
"Train",26.7023923444976
"Dixie Chicks",26.1388888888889
"3 Doors Down",25.9206349206349
"Jill Scott",25.6623376623377
"112",25.4896214896215
"Matchbox Twenty",25.4184782608696
"Tool",25.0757575757576
"Ricky Martin",23.3454545454545
"Madonna",23.3309523809524
"Aaliyah",23.2058823529412
"Jay-Z",23.1860119047619
"Uncle Kracker",22.3737373737374
"Nelly Furtado",22.3111111111111
"Godsmack",21.875
"Musiq Soulchild",21.683223209539
"Dream",21.5175438596491
"Eve",21.5
"Usher",21.3529411764706
"Missy \"Misdemeanor\" Elliott",21.125
"Blink-182",21.0317307692308
"Crazy Town",20.9848484848485
"Fuel",20.6547619047619
"Lee Ann Womack",20.5737745098039
"O-Town",20.3529411764706
"David Gray",20.1396103896104
"Kenny Chesney",19.9166666666667
"Disturbed",19.6666666666667
"K-Ci/JoJo",18.9958333333333
"Eminem",18.875
"Trick Daddy",18.8174603174603
"Sum 41",18.5384615384615
"3LW",18.2666666666667
"Xzibit",18.229797979798
"St. Lunatics",18.031746031746
"Alien Ant Farm",17.9166666666667
"Nickelback",17.8461538461538
"Jagged Edge",17.3026315789474
"Weezer",17.037037037037
"Mystikal",16.7435897435897
"Mary J. Blige",16.3620680044593
"Erykah Badu",16.2232558139535
"Maxwell",16.1938461538462
"Aerosmith",15.8333333333333
"Incubus",15.8076923076923
"Ginuwine",15.5
"Charlotte Church",15.4326923076923
"Gorillaz",15.1975757575758
"The Offspring",15.1363636363636
"Wu-Tang Clan",15
"Christina Aguilera",14.6387107474569
"India.Arie",14.6055555555556
"Pink",14.5409090909091
"Jaheim",14.5212765957447
"System Of A Down",14.4706349206349
"Drowning Pool",14.4101654846336
"P. Diddy/The Bad Boy Family",14.31279178338
"Coldplay",14.1818181818182
"Sara Evans",14.1666666666667
"Luther Vandross",14.1538461538462
"DMX",14.117816091954
"Project Pat",14.0606060606061
"Moby",14
"Bon Jovi",13.6527964959569
"Papa Roach",13.625
"P.O.D.",13.6111111111111
"Britney Spears",13.5238095238095
"The Corrs",13.518643685082
"Rage Against The Machine",13.3333333333333
"Billy Gilman",13.3181818181818
"Alan Jackson",13.1515151515152
"Memphis Bleek",13.0681818181818
"Tank",12.9848484848485
"Paul McCartney",12.5833333333333
"Juvenile",12.25
"Toby Keith",12.1666666666667
"Lil' Wayne",12.1563182148921
"Donnie McClurkin",12.1272401433692
"City High",12.125
"Redman",11.4222222222222
"Radiohead",11.1428571428571
"Sting",11.1
"Travis Tritt",11
"Sugar Ray",10.7
"LeAnn Rimes",10.7
"Brooks/Dunn",10.6667311411992
"Dave Hollister",10.5512987012987
"Lil' Romeo",10.4444444444444
"Michael Jackson",10.3111111111111
"Brian McKnight",10.3111111111111
"Slipknot",10.2111111111111
"Lonestar",10.2111111111111
"Dr. Dre",10.1521028538731
"Puddle Of Mudd",10.1468253968254
"Keith Sweat",10.1455555555556
"Fabolous",10.1309523809524
"Saliva",10.1309523809524
"Stevie Nicks",10.1251114081996
"Jessica Andrews",10.1176470588235
"Craig David",10.0526315789474
"QB Finest",10.0526315789474
"Afroman",10.0238095238095
"Tyrese",9.58333333333333
"Jessica Simpson",9.45
"Master P",9.36111111111111
"Blu Cantrell",9.35
"Tamia",9.35
"Mya",9.35
"Case",9.18977591036414
"Eric Clapton",9.1516265597148
"B.G.",9.1037037037037
"Enrique Iglesias",9.09090909090909
"Foxy Brown",9.07692307692308
"Beanie Sigel",8.78421052631579
"S Club 7",8.57142857142857
"Barenaked Ladies",8.57142857142857
"Diana Krall",8.55357142857143
"Dream Street",8.55357142857143
"Green Day",8.53968253968254
"Celine Dion",8.52857142857143
"Tantric",8.52857142857143
"Bob Dylan",8.12949039264829
